entityid;route;rub;age;mois;annee;prd;abd;prf;abf;cumuld;cumulf;long;epaisseurdernierstravaux;anneedernierstravaux;naturedernierstravaux;supportdernierstravaux
01f905fd-c4f0-41bd-984c-6ee92a5597f3;76 D0261;20;0;7;7;8;900;9;370;8890;9376;486;1,8;2002;BBUM;GB-REP
0217430e-f7f0-40bf-a822-04e9e0e54c83;76 D0020;20;0;7;7;51;410;52;34;51570;52210;640;3;2003;BB;BBTM
0220aa27-77a3-4dea-8d5e-04733f7af08e;76 D0982;20;0;10;9;8;730;15;900;8732;15950;7218;5;2009;BB;BBTM
0227d381-1021-44d0-b034-7334c0c2063c;76 D0312B;20;0;10;12;0;300;0;509;300;509;209;9999,99;1997;!!!!!!;AC
0233153c-8f4f-459f-808a-9cf94c532d8a;76 D0033;20;0;11;11;20;624;22;681;20652;22610;1958;0,6;2011;ES-MC;COUL
02375d2a-e95c-4259-9420-85d142507b3d;76 E6015C2;20;0;7;7;0;0;0;367;0;367;367;9999,99;1900;!!!!!!;BB
023c6cb4-a6b9-4211-a02f-8671b05ae755;76 D0010;20;0;7;7;41;782;42;83;41251;41561;310;1;2005;COUL;BBTM
023da066-2b9d-4f8c-8ec1-28d1ceb8b7a3;76 D0001;20;0;7;7;34;176;34;340;34092;34256;164;6;2004;BB;BB
0247fd81-f7ac-460f-9be1-a5cca137195a;76 D0373;20;0;7;7;8;603;8;823;8466;8686;220;5;2003;BB;COUL
024f5077-c6b0-4699-bd54-86e3d5c4e181;76 D0154;20;0;7;7;4;554;4;700;3063;3209;146;6;2005;BB;BBUM
025e58a1-2519-4e37-a725-16182fb1379e;76 D0504;20;0;7;7;2;690;2;964;2699;2973;274;6;2006;BB;BB-REP
02609fd6-ac06-4ee9-b15b-af2b1fcd79c0;76 D0108;20;0;7;7;8;135;9;401;8143;9413;1270;1;2007;ES;BBSP
02718514-1ab8-4cec-834b-0665c7a2dd12;76 D0023;20;0;10;9;17;450;17;750;16616;16916;300;1;2008;COUL;BBSP
02794c8e-362c-46c7-bc46-dac31ae8eb1a;76 D0086A;20;0;1;8;0;300;1;700;300;1712;1412;2;2009;COUL;AC
02841a8a-db50-4cb7-8b6c-45e5ae48dcb4;76 D0070;20;0;11;14;15;496;18;809;15543;18946;3403;1,2;2014;ES-BC;AC
02904be1-cd0e-44df-b0f7-77882686bc8f;76 D0028A;20;0;7;7;0;704;2;869;704;2848;2144;0,6;2000;ES;ES
0297c6d7-e8a1-4a2a-a235-540f1918a7f4;76 D0107;20;0;7;7;33;848;34;525;33814;34500;686;1;2012;ES-MC;BB
0299bbe4-081a-48d3-9a25-98ce73f7d118;76 D0031B;20;0;7;7;0;0;1;1072;0;2122;2122;6;2006;BB;ES
02aeb6a2-66c3-463d-a70e-274b3a89ba2b;76 D0920;20;0;7;7;20;458;21;711;20593;21855;1262;1;2007;COUL;BB
02b3d172-ccf2-4173-a267-d0f4bc9a7963;76 D0019;20;0;7;7;3;421;3;1005;3444;4028;584;0;1991;ES;AC
02c7c0fb-59a4-4681-acf2-ce37969d9bb3;76 D0090;20;0;4;8;17;800;18;940;16201;17314;1113;3;2001;BB;BBUM
02e7aacd-d71a-4562-9f93-ad6f8bb5fdd5;76 D0052;20;0;7;7;31;743;34;198;29968;32229;2261;1,5;2000;BBTM;BB-REP
02ec45e0-8d4e-4000-a85f-4c2d09264801;76 D0039;20;0;3;9;19;0;20;250;19166;20421;1255;1;2006;COUL;ES
02f1bd75-aa23-4e2a-992e-39805a83a94a;76 D0094;20;0;7;7;15;566;15;1428;15512;16374;862;5;2005;BB;AC
02f50c40-0387-4d27-b387-48dcf4aa1327;76 D0115;20;0;7;7;9;50;9;64;9190;9204;14;1;1995;ES;ES
02f8b46e-755c-4a54-a482-9207d2fa32b0;76 D0020;20;0;7;8;25;1065;27;512;26192;27619;1427;4;2008;BB;BB
02f8e28f-88b4-433b-aad3-27c6685f57b5;76 D0007;20;0;7;7;56;637;61;0;58430;62830;4400;1;2006;ES;ES
03007d32-8d62-4714-a16c-650f3f24ddb6;76 D0071;20;0;7;7;9;206;11;626;9236;11664;2428;3;2000;BBSP;ES
03056732-334c-420a-8cbe-0ffc1e290124;76 D0013;20;0;7;7;1;600;3;273;1600;3271;1671;4;2006;BBM;AC
03100787-36ab-4051-a077-21df87a360a4;76 D0075;20;0;7;7;38;532;39;89;38843;39425;582;1;1999;COUL;BB
0324bd8d-8786-416a-94d2-7d0a9bc7708b;76 D0221;20;0;7;7;2;85;3;730;2091;3764;1673;1;2006;COUL;ES
032f859d-24e2-4c3b-8a86-28cb1c19019e;76 D0079;20;0;5;8;13;250;14;520;13438;14707;1269;6;2002;BB;BBUM
03538409-9406-4f3c-b776-062d5899e990;76 D0053;20;0;7;7;3;848;5;422;3942;5521;1579;4;2006;BB;BB
03560683-7ee6-4112-ab79-261c5ece6117;76 D0018E;20;0;11;14;3;900;3;990;3902;3992;90;6;2014;BBSG;AC
035fb976-44f5-4e3e-801a-d31c039f594a;76 D0139;20;0;9;12;11;10;12;930;10041;11966;1925;1,5;2011;ES-BC;BB
03715ab0-1eb8-4caf-a852-24b0d0675ba8;76 D0940;20;0;10;12;14;270;15;715;14768;16195;1427;6;2013;BBSG;BB
0375f818-c31e-45cf-a90e-8d77df790538;76 D0138;20;0;9;13;1;30;1;40;1037;1047;10;1;2000;COUL;AC
03839003-bea2-4a89-a81f-6b700910ab2a;76 D0043;20;0;7;7;25;240;25;300;25642;25702;60;3;1995;BBTM;AC
038bf8b6-c88d-4b7b-863f-74c1c5a6e8d2;76 D0059;20;0;10;13;3;700;3;725;3710;3735;25;1;2004;ES;BBUM
038cf4c1-0ca8-4bee-90ce-11b57b5b55cb;76 D0053;20;0;7;7;68;615;69;135;68913;69432;519;0;1993;ES;AC
03903420-3e3e-4a8d-8be9-af82f7add020;76 D0013;20;0;7;7;64;19;64;561;63125;63667;542;3;1996;BBTM;BB
03952b9a-c75c-49d6-8ab2-d7d28e4460cd;76 D0043;20;0;11;11;26;535;26;780;26726;26971;245;5;2002;BB;AC
03956a59-b3b7-43dd-bade-dd6d98a35f65;76 D0033;20;0;11;14;3;12;4;691;3020;4702;1682;1,2;2014;ES-BC;AC
0399e5ad-d670-4db6-ade3-881aab43d721;76 D0069;20;0;7;7;38;943;39;943;38970;39971;1001;0,6;2004;COUL;ES
039d448a-6341-4604-915b-1a3e0a87f5e6;76 D0938;20;0;8;11;3;430;3;600;3623;3793;170;4;2001;BB;AC
03a19e8a-3d14-4a8e-a5db-2d65f111070d;76 D0925;20;0;11;14;75;347;75;350;74506;74509;3;4;2005;BB;COUL
03a5e5bb-683f-433f-89a9-7a2e7f16cd95;76 D0095;20;0;8;11;7;515;8;399;7893;8964;1071;2;2000;BBUM;BB-REP
03a64db1-1461-4637-8089-a2748b53dd00;76 D0115;20;0;7;7;14;120;14;468;14269;14617;348;1;1995;ES;ES
03b66324-1cf1-4fad-b5fb-67f4c5ae8c88;76 D0009;20;0;7;7;3;400;5;79;3395;5086;1691;1;2006;ES;ES
03b7eeef-936a-4dea-abdb-2dfc9603202d;76 D0094;20;0;2;9;19;814;20;950;19329;20456;1127;4;1996;BB;AC
03b9905d-5651-4ec7-bcb6-14127d55429b;76 D0052;20;0;9;12;7;640;8;290;6519;7373;854;6;1990;BB;GB
